split,stem,label_path,image_path
test,gss1009_jpg.rf.011f90d6db5a951391df1e9048781547,C:\Machine Learning\projet\projet-machine-learning\dataset\labels\test\gss1009_jpg.rf.011f90d6db5a951391df1e9048781547.txt,C:\Machine Learning\projet\projet-machine-learning\dataset\images\test\gss1009_jpg.rf.011f90d6db5a951391df1e9048781547.jpg
test,gss1010_jpg.rf.63dcdae3f51c0318c1811ae94f5f2869,C:\Machine Learning\projet\projet-machine-learning\dataset\labels\test\gss1010_jpg.rf.63dcdae3f51c0318c1811ae94f5f2869.txt,C:\Machine Learning\projet\projet-machine-learning\dataset\images\test\gss1010_jpg.rf.63dcdae3f51c0318c1811ae94f5f2869.jpg
test,gss1027_jpg.rf.61b7131736a5513c1085a8c294e02473,C:\Machine Learning\projet\projet-machine-learning\dataset\labels\test\gss1027_jpg.rf.61b7131736a5513c1085a8c294e02473.txt,C:\Machine Learning\projet\projet-machine-learning\dataset\images\test\gss1027_jpg.rf.61b7131736a5513c1085a8c294e02473.jpg
test,gss1030_jpg.rf.d055d83b78c42127f989ad86f13346ac,C:\Machine Learning\projet\projet-machine-learning\dataset\labels\test\gss1030_jpg.rf.d055d83b78c42127f989ad86f13346ac.txt,C:\Machine Learning\projet\projet-machine-learning\dataset\images\test\gss1030_jpg.rf.d055d83b78c42127f989ad86f13346ac.jpg
test,gss1039_jpg.rf.88ea57b8beeddd5db86a59f86ca2e19c,C:\Machine Learning\projet\projet-machine-learning\dataset\labels\test\gss1039_jpg.rf.88ea57b8beeddd5db86a59f86ca2e19c.txt,C:\Machine Learning\projet\projet-machine-learning\dataset\images\test\gss1039_jpg.rf.88ea57b8beeddd5db86a59f86ca2e19c.jpg
test,gss1044_jpg.rf.7e4f64a4b315e1e50fdd298586428f05,C:\Machine Learning\projet\projet-machine-learning\dataset\labels\test\gss1044_jpg.rf.7e4f64a4b315e1e50fdd298586428f05.txt,C:\Machine Learning\projet\projet-machine-learning\dataset\images\test\gss1044_jpg.rf.7e4f64a4b315e1e50fdd298586428f05.jpg
test,gss1052_jpg.rf.5a093c93e851afc23a18915ce8cce97d,C:\Machine Learning\projet\projet-machine-learning\dataset\labels\test\gss1052_jpg.rf.5a093c93e851afc23a18915ce8cce97d.txt,C:\Machine Learning\projet\projet-machine-learning\dataset\images\test\gss1052_jpg.rf.5a093c93e851afc23a18915ce8cce97d.jpg
test,gss1056_jpg.rf.1a71cc5e12e0f677eea326d99769fbdd,C:\Machine Learning\projet\projet-machine-learning\dataset\labels\test\gss1056_jpg.rf.1a71cc5e12e0f677eea326d99769fbdd.txt,C:\Machine Learning\projet\projet-machine-learning\dataset\images\test\gss1056_jpg.rf.1a71cc5e12e0f677eea326d99769fbdd.jpg
test,gss1059_jpg.rf.15cdd4e373ceff7f41f400c8d361346b,C:\Machine Learning\projet\projet-machine-learning\dataset\labels\test\gss1059_jpg.rf.15cdd4e373ceff7f41f400c8d361346b.txt,C:\Machine Learning\projet\projet-machine-learning\dataset\images\test\gss1059_jpg.rf.15cdd4e373ceff7f41f400c8d361346b.jpg
test,gss106_jpg.rf.7473a70890c2c9add1cdaa8dd21722c7,C:\Machine Learning\projet\projet-machine-learning\dataset\labels\test\gss106_jpg.rf.7473a70890c2c9add1cdaa8dd21722c7.txt,C:\Machine Learning\projet\projet-machine-learning\dataset\images\test\gss106_jpg.rf.7473a70890c2c9add1cdaa8dd21722c7.jpg
test,gss1083_jpg.rf.9613355ccf17f105dc97280bd4c09148,C:\Machine Learning\projet\projet-machine-learning\dataset\labels\test\gss1083_jpg.rf.9613355ccf17f105dc97280bd4c09148.txt,C:\Machine Learning\projet\projet-machine-learning\dataset\images\test\gss1083_jpg.rf.9613355ccf17f105dc97280bd4c09148.jpg
test,gss1090_jpg.rf.e6c865c22ca5820a5d2a66d703d1c219,C:\Machine Learning\projet\projet-machine-learning\dataset\labels\test\gss1090_jpg.rf.e6c865c22ca5820a5d2a66d703d1c219.txt,C:\Machine Learning\projet\projet-machine-learning\dataset\images\test\gss1090_jpg.rf.e6c865c22ca5820a5d2a66d703d1c219.jpg
test,gss1097_jpg.rf.da0d5f2b54cda846ec2eed3deaa75849,C:\Machine Learning\projet\projet-machine-learning\dataset\labels\test\gss1097_jpg.rf.da0d5f2b54cda846ec2eed3deaa75849.txt,C:\Machine Learning\projet\projet-machine-learning\dataset\images\test\gss1097_jpg.rf.da0d5f2b54cda846ec2eed3deaa75849.jpg
test,gss1108_jpg.rf.afcbefd85529bf60a57a92f853b364cb,C:\Machine Learning\projet\projet-machine-learning\dataset\labels\test\gss1108_jpg.rf.afcbefd85529bf60a57a92f853b364cb.txt,C:\Machine Learning\projet\projet-machine-learning\dataset\images\test\gss1108_jpg.rf.afcbefd85529bf60a57a92f853b364cb.jpg
test,gss1112_jpg.rf.9da717d54aac417903fb73634d717111,C:\Machine Learning\projet\projet-machine-learning\dataset\labels\test\gss1112_jpg.rf.9da717d54aac417903fb73634d717111.txt,C:\Machine Learning\projet\projet-machine-learning\dataset\images\test\gss1112_jpg.rf.9da717d54aac417903fb73634d717111.jpg
test,gss1113_jpg.rf.29fb8120a43242d8ffa25821915b8167,C:\Machine Learning\projet\projet-machine-learning\dataset\labels\test\gss1113_jpg.rf.29fb8120a43242d8ffa25821915b8167.txt,C:\Machine Learning\projet\projet-machine-learning\dataset\images\test\gss1113_jpg.rf.29fb8120a43242d8ffa25821915b8167.jpg
test,gss1117_jpg.rf.0f80f67e84f5abc2dde895b8c87a0378,C:\Machine Learning\projet\projet-machine-learning\dataset\labels\test\gss1117_jpg.rf.0f80f67e84f5abc2dde895b8c87a0378.txt,C:\Machine Learning\projet\projet-machine-learning\dataset\images\test\gss1117_jpg.rf.0f80f67e84f5abc2dde895b8c87a0378.jpg
test,gss111_jpg.rf.7487078e79453fb72b8742fb980066b7,C:\Machine Learning\projet\projet-machine-learning\dataset\labels\test\gss111_jpg.rf.7487078e79453fb72b8742fb980066b7.txt,C:\Machine Learning\projet\projet-machine-learning\dataset\images\test\gss111_jpg.rf.7487078e79453fb72b8742fb980066b7.jpg
test,gss1168_jpg.rf.0b57ddff3aca6accf8e7939ec965d1e9,C:\Machine Learning\projet\projet-machine-learning\dataset\labels\test\gss1168_jpg.rf.0b57ddff3aca6accf8e7939ec965d1e9.txt,C:\Machine Learning\projet\projet-machine-learning\dataset\images\test\gss1168_jpg.rf.0b57ddff3aca6accf8e7939ec965d1e9.jpg
