epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.567,4.16742,8.79682,2.10213,0,0,0,0,2.87496,9.38756,0.92155,0.000329545,0.000329545,0.000329545
2,299.397,4.01074,6.95376,1.63304,0,0,0,0,3.12448,12.0321,1.22877,0.000649754,0.000649754,0.000649754
3,484.927,4.03861,6.47893,1.64954,0,0,0,0,5.65022,17.3914,1.84609,0.000956762,0.000956762,0.000956762
4,634.628,4.03618,6.29008,1.60173,0,0,0,0,3.81155,11.0629,1.17002,0.0009406,0.0009406,0.0009406
5,788.537,3.93706,6.06296,1.57744,0,0,0,0,4.16648,9.63151,1.28757,0.0009208,0.0009208,0.0009208
6,965.199,3.84456,5.95317,1.54622,0,0,0,0,3.52299,7.4,1.12469,0.000901,0.000901,0.000901
7,1148.98,3.79334,5.59293,1.48679,0,0,0,0,3.88131,9.25693,1.10172,0.0008812,0.0008812,0.0008812
8,1327.22,3.75557,5.18718,1.52588,0,0,0,0,2.64975,7.68653,1.07529,0.0008614,0.0008614,0.0008614
9,1510.88,3.66991,4.97258,1.52761,0,0,0,0,3.53231,8.10847,1.20272,0.0008416,0.0008416,0.0008416
10,1690.48,3.74375,5.10164,1.49604,0,0,0,0,4.0528,8.97968,1.34709,0.0008218,0.0008218,0.0008218
11,2005.77,3.7076,4.86868,1.50434,0,0,0,0,3.73878,7.38647,1.10869,0.000802,0.000802,0.000802
12,2313.06,3.74042,4.8472,1.49587,0,0,0,0,3.59714,7.22916,1.09927,0.0007822,0.0007822,0.0007822
13,2594.28,3.7162,4.78032,1.47179,0,0,0,0,3.41996,6.875,1.11506,0.0007624,0.0007624,0.0007624
14,2786.13,3.63345,4.52231,1.45813,0,0,0,0,4.45542,7.09347,1.30564,0.0007426,0.0007426,0.0007426
15,2959.56,3.69977,4.59833,1.53549,0,0,0,0,3.51791,6.94968,1.16444,0.0007228,0.0007228,0.0007228
16,3174.87,3.54212,4.47525,1.46561,0,0,0,0,3.65397,6.35597,1.09573,0.000703,0.000703,0.000703
17,3415.37,3.54436,4.34284,1.47416,0,0,0,0,3.77577,6.27595,1.13801,0.0006832,0.0006832,0.0006832
18,3684.4,3.61705,4.38298,1.43127,0,0,0,0,2.61282,6.17904,1.00704,0.0006634,0.0006634,0.0006634
19,3945.41,3.54915,4.35552,1.45196,0,0,0,0,5.29938,6.70706,1.5007,0.0006436,0.0006436,0.0006436
