epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.452,2.22634,4.65059,1.1241,0.98684,0.02041,0.17725,0.07692,2.03872,3.01392,1.0372,0.000330128,0.000330128,0.000330128
2,91.4667,2.08966,3.11068,1.06381,0.42395,0.22929,0.18301,0.06885,2.14249,2.22919,1.0533,0.000656893,0.000656893,0.000656893
3,131.181,2.04824,2.59322,1.06377,0.22209,0.28453,0.20259,0.08317,2.11624,1.93598,1.09281,0.000977058,0.000977058,0.000977058
4,170.031,2.01175,2.17465,1.04249,0.53475,0.35027,0.3078,0.13785,1.92696,1.68396,1.02247,0.0009703,0.0009703,0.0009703
5,209.942,1.94839,1.95618,1.03136,0.37358,0.34517,0.34705,0.16796,1.86124,1.63147,1.00023,0.0009604,0.0009604,0.0009604
6,249.494,1.90565,1.82729,1.01354,0.53456,0.38311,0.35979,0.16336,1.80556,1.61921,0.98995,0.0009505,0.0009505,0.0009505
7,288.685,1.85625,1.68977,0.99927,0.59087,0.40058,0.39581,0.18554,1.77828,1.49139,0.97763,0.0009406,0.0009406,0.0009406
8,328.421,1.81249,1.58495,1.00065,0.58338,0.4013,0.40531,0.19653,1.73745,1.45778,0.96832,0.0009307,0.0009307,0.0009307
9,368.861,1.78065,1.55042,0.98904,0.61079,0.37889,0.40553,0.19069,1.7756,1.48892,0.97319,0.0009208,0.0009208,0.0009208
10,408.51,1.76079,1.50076,0.98634,0.61803,0.42366,0.43554,0.21618,1.68428,1.36827,0.95493,0.0009109,0.0009109,0.0009109
11,450.769,1.76141,1.44643,0.98151,0.65033,0.40873,0.44557,0.21579,1.70399,1.37023,0.95599,0.000901,0.000901,0.000901
12,495.402,1.73514,1.39981,0.97414,0.65609,0.40678,0.44037,0.22106,1.70207,1.40917,0.95673,0.0008911,0.0008911,0.0008911
13,536.122,1.70452,1.37014,0.96209,0.70544,0.43936,0.48784,0.24878,1.62368,1.26318,0.94014,0.0008812,0.0008812,0.0008812
14,575.782,1.67527,1.33871,0.96491,0.69561,0.40309,0.46574,0.22142,1.73547,1.27842,0.96317,0.0008713,0.0008713,0.0008713
15,614.49,1.68238,1.32367,0.95656,0.72177,0.43937,0.50564,0.25915,1.61097,1.23792,0.94103,0.0008614,0.0008614,0.0008614
16,653.488,1.66663,1.29017,0.95587,0.68849,0.42548,0.48618,0.25286,1.61813,1.27878,0.94029,0.0008515,0.0008515,0.0008515
17,691.658,1.63917,1.25503,0.95328,0.67254,0.43389,0.49706,0.26114,1.59061,1.2277,0.93401,0.0008416,0.0008416,0.0008416
18,729.646,1.62391,1.23259,0.94502,0.72227,0.45541,0.51602,0.26752,1.60548,1.182,0.93868,0.0008317,0.0008317,0.0008317
19,766.798,1.62618,1.22059,0.94674,0.71266,0.45111,0.52861,0.27277,1.60045,1.17776,0.93093,0.0008218,0.0008218,0.0008218
20,803.952,1.59549,1.20143,0.94007,0.48943,0.43578,0.48609,0.25563,1.58545,1.23483,0.93283,0.0008119,0.0008119,0.0008119
21,841.119,1.59522,1.18028,0.93909,0.74004,0.45535,0.54042,0.2813,1.5735,1.16025,0.92531,0.000802,0.000802,0.000802
22,879.053,1.57246,1.19059,0.93419,0.71636,0.47038,0.55463,0.28437,1.56108,1.13999,0.91985,0.0007921,0.0007921,0.0007921
23,916.435,1.57229,1.15972,0.93156,0.6884,0.45512,0.49418,0.26438,1.59913,1.21871,0.93227,0.0007822,0.0007822,0.0007822
24,955.122,1.55914,1.14553,0.9297,0.71003,0.46722,0.53255,0.28423,1.53375,1.14277,0.91272,0.0007723,0.0007723,0.0007723
25,995.445,1.54108,1.11761,0.92811,0.65736,0.49572,0.52783,0.27855,1.5895,1.16915,0.94084,0.0007624,0.0007624,0.0007624
26,1038.39,1.55272,1.11098,0.92663,0.72301,0.49833,0.56048,0.28749,1.53832,1.09553,0.91538,0.0007525,0.0007525,0.0007525
27,1080.68,1.49575,1.07644,0.91771,0.74042,0.50106,0.58478,0.3001,1.57302,1.084,0.92351,0.0007426,0.0007426,0.0007426
28,1121.05,1.49674,1.06603,0.9164,0.76741,0.48476,0.56596,0.29337,1.56203,1.07964,0.9222,0.0007327,0.0007327,0.0007327
29,1160.63,1.51093,1.0721,0.9174,0.74529,0.52809,0.5934,0.32091,1.48162,1.02443,0.90924,0.0007228,0.0007228,0.0007228
30,1199.48,1.49522,1.03629,0.91524,0.76732,0.52523,0.59733,0.31662,1.4998,1.02571,0.91259,0.0007129,0.0007129,0.0007129
31,1239.01,1.47484,1.03045,0.91427,0.71286,0.5139,0.58828,0.31672,1.48667,1.07099,0.91223,0.000703,0.000703,0.000703
