epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.9505,2.25699,4.08159,1.11812,0.744,0.04069,0.14972,0.06673,1.96213,3.2298,1.01076,0.000330189,0.000330189,0.000330189
2,178.753,2.02113,2.65155,1.0439,0.44588,0.27964,0.2334,0.10188,1.98838,1.94507,1.03423,0.000630678,0.000630678,0.000630678
3,260.967,1.99563,2.30587,1.04086,0.46932,0.3477,0.27376,0.12727,1.91993,1.84123,1.01525,0.000898167,0.000898167,0.000898167
4,359.959,1.95987,2.03133,1.02377,0.57534,0.29757,0.31875,0.14399,1.91792,1.72041,1.00252,0.0008515,0.0008515,0.0008515
5,443.004,1.91071,1.81599,1.01955,0.55621,0.36051,0.35165,0.15145,1.92803,1.59182,0.99599,0.000802,0.000802,0.000802
6,530.11,1.82165,1.64062,0.9912,0.5756,0.38402,0.39721,0.18832,1.81165,1.5215,0.97489,0.0007525,0.0007525,0.0007525
7,615.93,1.79424,1.53266,0.98659,0.4791,0.48018,0.46323,0.22067,1.75288,1.39385,0.96032,0.000703,0.000703,0.000703
8,701.038,1.7645,1.44548,0.97529,0.56629,0.42299,0.41797,0.20299,1.73857,1.44631,0.95656,0.0006535,0.0006535,0.0006535
9,801.601,1.73651,1.35537,0.96326,0.65493,0.43681,0.46788,0.22975,1.71325,1.31806,0.95188,0.000604,0.000604,0.000604
10,888.516,1.68758,1.3069,0.95518,0.65043,0.45314,0.48918,0.24132,1.70779,1.28218,0.94999,0.0005545,0.0005545,0.0005545
11,971.399,1.65875,1.27696,0.95946,0.65637,0.43817,0.46579,0.23818,1.69215,1.29835,0.94957,0.000505,0.000505,0.000505
12,1058.6,1.60469,1.19059,0.94995,0.65505,0.45925,0.48851,0.2449,1.66391,1.27871,0.94038,0.0004555,0.0004555,0.0004555
13,1138.7,1.58474,1.14937,0.94463,0.7147,0.4849,0.54017,0.27805,1.6398,1.17448,0.93576,0.000406,0.000406,0.000406
14,1218.27,1.54928,1.11375,0.92856,0.69218,0.48505,0.53268,0.27645,1.6163,1.17964,0.93026,0.0003565,0.0003565,0.0003565
15,1297.85,1.52795,1.07217,0.93056,0.73794,0.50203,0.56684,0.30071,1.54953,1.11904,0.91884,0.000307,0.000307,0.000307
16,1379.59,1.47634,1.0089,0.923,0.54503,0.49234,0.54222,0.28414,1.57698,1.15566,0.92795,0.0002575,0.0002575,0.0002575
17,1459.68,1.46048,0.98705,0.91517,0.72406,0.51673,0.56669,0.30466,1.53561,1.08818,0.92053,0.000208,0.000208,0.000208
18,1539.2,1.43255,0.93744,0.90874,0.69284,0.57867,0.60951,0.33405,1.49981,1.03432,0.90715,0.0001585,0.0001585,0.0001585
19,1619.64,1.40405,0.90929,0.90441,0.79327,0.52396,0.61616,0.33636,1.49094,1.01542,0.90648,0.000109,0.000109,0.000109
20,1708.83,1.39372,0.89161,0.90222,0.63378,0.58228,0.62136,0.33825,1.47985,1.01276,0.90554,5.95e-05,5.95e-05,5.95e-05
